x,y
0,-1.75415e-13,0
1,1.12133e-14,1.23172e-13
2,9.9698e-14,-1.24636e-13
3,-1.31117e-13,3.82611e-14
4,-7.43849e-15,9.28702e-14
5,7.01661e-14,-2.60625e-14
6,-3.58602e-14,5.98133e-14
7,1.93179e-14,-3.16414e-15
8,-1.27676e-14,4.41869e-14
9,8.83182e-14,-4.34652e-14
10,1.53766e-14,-9.4369e-15
11,1.36557e-14,-6.27276e-15
12,3.91354e-14,1.7264e-14
13,8.6875e-14,2.54796e-14
14,-7.18314e-14,-1.87184e-13
15,2.35367e-14,3.71925e-14
16,2.05391e-15,-6.57807e-14
17,-1.27121e-14,-1.78746e-14
18,-1.67866e-13,-3.39728e-14
19,-1.43247e-13,5.80647e-14
20,-1.07386e-13,3.01092e-13
21,1.73445e-13,7.08322e-14
22,2.2593e-13,-1.1191e-13
23,-9.66588e-14,3.79696e-14
24,5.63785e-14,-1.04361e-14
25,5.08191e-14,-3.34177e-14
26,4.2473e-14,-7.99361e-15
27,3.4972e-15,5.9952e-15
28,-4.05925e-14,4.10783e-14
29,1.0239e-13,2.15383e-14
30,-1.4877e-14,7.83817e-14
31,1.25316e-13,-3.94129e-14
32,-1.32117e-14,-1.80966e-14
33,1.79301e-14,4.34097e-14
34,1.09412e-13,-1.49269e-13
35,-4.10783e-15,5.54001e-14
36,1.65479e-13,-2.0095e-14
37,1.03917e-13,-2.44638e-13
38,-2.62068e-13,-2.19325e-13
39,-1.26843e-13,1.38056e-13
40,-8.37663e-14,-50
41,1.69031e-13,4.31322e-14
42,-5.39568e-14,9.04277e-14
43,1.87406e-13,8.64864e-14
44,-5.40679e-14,-1.18267e-13
45,-1.34226e-13,-5.74263e-14
46,1.63092e-13,1.09357e-13
47,4.72955e-14,-6.42542e-14
48,-8.07132e-14,-6.27692e-14
49,3.33067e-16,1.14214e-14
